ISO2;country_name;Speech_title;URL_text;URL_link;Date_m;speech_stance
LT;Lithuania;Vitas Vasiliauskas: Central bank digital currencies;https://www.bis.org/review/r190527b.htm;https://www.bis.org/review/r190527b.htm;01/05/2019;1
GB;United Kingdom;Mark Carney: Enable, empower, ensure - a new finance for the new economy;https://www.bis.org/review/r190627a.htm;https://www.bis.org/review/r190627a.htm;01/06/2019;0
DE;Germany;Jens Weidmann: Macroprudential policy through the lens of Sherlock Holmes;https://www.bis.org/review/r190627d.htm;https://www.bis.org/review/r190627d.htm;01/06/2019;0
MX;Mexico;Javier Guzmán Calafell: Some considerations on central bank digital currencies;https://www.bis.org/review/r190711i.htm;https://www.bis.org/review/r190711i.htm;01/07/2019;0
JP;Japan;Masayoshi Amamiya: Should the Bank of Japan issue a digital currency?;https://www.bis.org/review/r190712h.htm;https://www.bis.org/review/r190712h.htm;01/07/2019;-1
TH;Thailand;Veerathai Santiprabhob: On collaboration for the Thai financial system;https://www.bis.org/review/r190718c.htm;https://www.bis.org/review/r190718c.htm;01/07/2019;1
CBCS;Curaçao and Sint Maarten;Leila Matroos-Lasten: Reinventing central banking - supporting inclusive growth and financial innovation;https://www.bis.org/review/r190820e.htm;https://www.bis.org/review/r190820e.htm;01/08/2019;0
GB;United Kingdom;Mark Carney: The growing challenges for monetary policy in the current international monetary and financial system;https://www.bis.org/review/r190827b.htm;https://www.bis.org/review/r190827b.htm;01/08/2019;0
FR;France;François Villeroy de Galhau: The role of banking in a sustainable global economy;https://www.bis.org/review/r190918a.htm;https://www.bis.org/review/r190918a.htm;01/09/2019;0
EA;Euro Area;Benoît Cœuré: Digital challenges to the international monetary and financial system;https://www.bis.org/review/r190918b.htm;https://www.bis.org/review/r190918b.htm;01/09/2019;0
CL;Chile;Mario Marcel: High-level policy panel discussion on central bank digital currencies;https://www.bis.org/review/r190919d.htm;https://www.bis.org/review/r190919d.htm;01/09/2019;0
SG;Singapore;Ravi Menon: Introducing Zhou Xiaochuan;https://www.bis.org/review/r190925i.htm;https://www.bis.org/review/r190925i.htm;01/09/2019;0
FR;France;Denis Beau: The role of cryptoassets in the payment system;https://www.bis.org/review/r191015b.htm;https://www.bis.org/review/r191015b.htm;01/10/2019;-1
US;United States;Lael Brainard: Digital currencies, stablecoins, and the evolving payments landscape;https://www.bis.org/review/r191017b.htm;https://www.bis.org/review/r191017b.htm;01/10/2019;0
EA;Euro Area;Benoît Cœuré: Interview with Bloomberg;https://www.bis.org/review/r191017d.htm;https://www.bis.org/review/r191017d.htm;01/10/2019;1
EA;Euro Area;Mario Draghi: IMFC Statement;https://www.bis.org/review/r191018f.htm;https://www.bis.org/review/r191018f.htm;01/10/2019;0
DE;Germany;Burkhard Balz: Curtain up for the future of payments - from bigtechs and fintechs to smartphones and stablecoins;https://www.bis.org/review/r191030c.htm;https://www.bis.org/review/r191030c.htm;01/10/2019;0
HK;Hong Kong SAR;Eddie Yue: Join us and be part of the change;https://www.bis.org/review/r191108c.htm;https://www.bis.org/review/r191108c.htm;01/11/2019;1
FR;France;Denis Beau: Financial inclusion in the digital age - how to make a difference?;https://www.bis.org/review/r191115d.htm;https://www.bis.org/review/r191115d.htm;01/11/2019;-1
FR;France;Denis Beau: Financial inclusion in the digital age - how to make a difference?;https://www.bis.org/review/r191115d.htm;https://www.bis.org/review/r191115d.htm;01/11/2019;1
NO;Norway;Jon Nicolaisen: How important is it for a nation to have a payment system?;https://www.bis.org/review/r191115f.htm;https://www.bis.org/review/r191115f.htm;01/11/2019;0
FR;France;Denis Beau: What policy framework to help building innovation and growth into Europe's capital market?;https://www.bis.org/review/r191122c.htm;https://www.bis.org/review/r191122c.htm;01/11/2019;0
DE;Germany;Johannes Beermann: Cash and digital currencies from a central bank's perspective;https://www.bis.org/review/r191122l.htm;https://www.bis.org/review/r191122l.htm;01/11/2019;0
EA;Euro Area;Benoît Cœuré: Towards the retail payments of tomorrow - a European strategy;https://www.bis.org/review/r191126e.htm;https://www.bis.org/review/r191126e.htm;01/11/2019;0
IE;Ireland;Ed Sibley: Innovation in financial services - a regulator's perspective;https://www.bis.org/review/r191129d.htm;https://www.bis.org/review/r191129d.htm;01/11/2019;0
MU;Mauritius;Yandraduth Googoolye: Shaping the new banking landscape - defining the priorities and leveraging new technology to propel the Mauritian financial system forward;https://www.bis.org/review/r191202e.htm;https://www.bis.org/review/r191202e.htm;01/12/2019;1
EA;Euro Area;Christine Lagarde: Hearing of the Committee on Economic and Monetary Affairs of the European Parliament;https://www.bis.org/review/r191202f.htm;https://www.bis.org/review/r191202f.htm;01/12/2019;0
JP;Japan;Haruhiko Kuroda: Payments innovations and the role of central banks - addressing challenges posed by stablecoins;https://www.bis.org/review/r191204c.htm;https://www.bis.org/review/r191204c.htm;01/12/2019;0
FR;France;François Villeroy de Galhau: Central bank digital currency and innovative payments;https://www.bis.org/review/r191204f.htm;https://www.bis.org/review/r191204f.htm;01/12/2019;0
FR;France;François Villeroy de Galhau: Central bank digital currency and innovative payments;https://www.bis.org/review/r191204f.htm;https://www.bis.org/review/r191204f.htm;01/12/2019;1
US;United States;Michael Held: US regulations and approaches to cryptocurrencies;https://www.bis.org/review/r191212d.htm;https://www.bis.org/review/r191212d.htm;01/12/2019;0
CH;Switzerland;Andréa M Maechler: Introductory remarks, Swiss National Bank news conference;https://www.bis.org/review/r191213a.htm;https://www.bis.org/review/r191213a.htm;01/12/2019;1
EA;Euro Area;Luis de Guindos: Financial innovation for inclusive growth - a European approach;https://www.bis.org/review/r191216a.htm;https://www.bis.org/review/r191216a.htm;01/12/2019;0
US;United States;Lael Brainard: Update on digital currencies, stablecoins, and the challenges ahead;https://www.bis.org/review/r191218c.htm;https://www.bis.org/review/r191218c.htm;01/12/2019;0
EA;Euro Area;Benoît Cœuré: Monetary policy - lifting the veil of effectiveness;https://www.bis.org/review/r191218b.htm;https://www.bis.org/review/r191218b.htm;01/12/2019;0
CA;Canada;Stephen S Poloz: Big issues ahead - the Bank of Canada's 2020 vision;https://www.bis.org/review/r191220d.htm;https://www.bis.org/review/r191220d.htm;01/12/2019;0
EA;Euro Area;"Christine Lagarde: Interview in ""Challenges"" magazine";https://www.bis.org/review/r200108d.htm;https://www.bis.org/review/r200108d.htm;01/01/2020;1
KR;Korea;Juyeol Lee: New Year Speech;https://www.bis.org/review/r200108e.htm;https://www.bis.org/review/r200108e.htm;01/01/2020;1
FR;France;Denis Beau: Stablecoins - a good or a bad solution to improve our payment systems?;https://www.bis.org/review/r200115c.htm;https://www.bis.org/review/r200115c.htm;01/01/2020;1
US;United States;Lael Brainard: The digitalization of payments and currency - some issues for consideration;https://www.bis.org/review/r200205j.htm;https://www.bis.org/review/r200205j.htm;01/02/2020;0
EA;Euro Area;Christine Lagarde: Debate about the Annual Report;https://www.bis.org/review/r200211f.htm;https://www.bis.org/review/r200211f.htm;01/02/2020;1
FR;France;Denis Beau: What financial sovereignty in a digital world?;https://www.bis.org/review/r200304c.htm;https://www.bis.org/review/r200304c.htm;01/03/2020;1
GB;United Kingdom;Jon Cunliffe: It's time to talk about money;https://www.bis.org/review/r200304f.htm;https://www.bis.org/review/r200304f.htm;01/03/2020;1
JP;Japan;Masayoshi Amamiya:  Central Bank Digital Currency and the future of payment and settlement systems;https://www.bis.org/review/r200306a.htm;https://www.bis.org/review/r200306a.htm;01/03/2020;1
CA;Canada;Timothy Lane: Money and payments in the digital age;https://www.bis.org/review/r200311d.htm;https://www.bis.org/review/r200311d.htm;01/03/2020;1
CN;China;;https://www.centralbanking.com/fintech/cbdc/7511376/some-thoughts-on-cbdc-operations-in-china;https://www.centralbanking.com/fintech/cbdc/7511376/some-thoughts-on-cbdc-operations-in-china;01/04/2020;1
EA;Euro Area;Yves Mersch: An ECB digital currency - a flight of fancy?;https://www.bis.org/review/r200511a.htm;https://www.bis.org/review/r200511a.htm;01/05/2020;1
GB;United Kingdom;Christina Segal-Knowles: Payments after the COVID crisis - emerging issues and challenges;https://www.bis.org/review/r200616a.htm;https://www.bis.org/review/r200616a.htm;01/06/2020;1
GB;United Kingdom;Christina Segal-Knowles: Payments after the COVID crisis - emerging issues and challenges;https://www.bis.org/review/r200616a.htm;https://www.bis.org/review/r200616a.htm;01/06/2020;1
JP;Japan;Masayoshi Amamiya: Japan's economy and monetary policy;https://www.bis.org/review/r200803c.htm;https://www.bis.org/review/r200803c.htm;01/08/2020;-1
MY;Malaysia;Abdul Rasheed Ghaffour: Opening remarks - Forum on Central Bank Foreign Currency Operations;https://www.bis.org/review/r200807c.htm;https://www.bis.org/review/r200807c.htm;01/08/2020;1
CA;Canada;Tiff Macklem: Opening statement before the House of Commons Standing Committee on Finance;https://www.bis.org/review/r200807f.htm;https://www.bis.org/review/r200807f.htm;01/08/2020;-1
US;United States;Lael Brainard: An update on digital currencies;https://www.bis.org/review/r200814a.htm;https://www.bis.org/review/r200814a.htm;01/08/2020;1
GB;United Kingdom;Andrew Bailey: Reinventing the wheel (with more automation);https://www.bis.org/review/r200903d.htm;https://www.bis.org/review/r200903d.htm;01/09/2020;0
EA;Euro Area;Christine Lagarde: Payments in a digital world;https://www.bis.org/review/r200911a.htm;https://www.bis.org/review/r200911a.htm;01/09/2020;1
EA;Euro Area;Christine Lagarde: Payments in a digital world;https://www.bis.org/review/r200911a.htm;https://www.bis.org/review/r200911a.htm;01/09/2020;1
FR;France;François Villeroy de Galhau: Preparing Europe Payments for the digital currency age;https://www.bis.org/review/r200911e.htm;https://www.bis.org/review/r200911e.htm;01/09/2020;1
FR;France;François Villeroy de Galhau: Preparing Europe Payments for the digital currency age;https://www.bis.org/review/r200911e.htm;https://www.bis.org/review/r200911e.htm;01/09/2020;1
